host,port,nickname,protocol
109.105.109.165,24215,ndnop3,obfs4
109.105.109.165,10527,ndnop3,obfs4
109.105.109.165,22,ndnop3,ssh
109.105.109.146,27668,ndnop4,obfs4
109.105.109.146,22,ndnop4,ssh
109.105.109.147,13764,ndnop5,obfs4
178.209.52.110,443,schanenlied,obfs4
178.209.52.110,22,schanenlied,ssh
83.212.101.3,41213,LeifEricson,obfs4
83.212.101.3,50000,LeifEricson,obfs4
83.212.101.3,50001,LeifEricson,obfs4
83.212.101.3,50002,LeifEricson,obfs4
83.212.101.3,50003,LeifEricson,obfs4
83.212.101.3,50004,LeifEricson,obfs4
83.212.101.3,50005,LeifEricson,obfs4
83.212.101.3,50006,LeifEricson,obfs4
83.212.101.3,50007,LeifEricson,obfs4
83.212.101.3,50008,LeifEricson,obfs4
83.212.101.3,50009,LeifEricson,obfs4
83.212.101.3,80,LeifEricson,obfs3
83.212.101.3,22,LeifEricson,ssh
83.212.101.3,443,LeifEricson,scramblesuit
104.131.108.182,56880,mercurius4,obfs4
192.240.101.106,80,fdctorbridge01,fte
198.245.60.50,443,riemann,obfs4
198.245.60.50,22,riemann,ssh
192.99.11.54,443,noether,obfs4
192.99.11.54,22,noether,ssh
154.35.22.9,60873,GreenBelt,obfs4
154.35.22.9,1984,GreenBelt,obfs4
154.35.22.9,443,GreenBelt,obfs4
154.35.22.9,80,GreenBelt,obfs4
154.35.22.9,5881,GreenBelt,obfs4
154.35.22.9,7013,GreenBelt,obfs4
154.35.22.9,12166,GreenBelt,obfs4
154.35.22.9,14303,GreenBelt,obfs4
154.35.22.9,25427,GreenBelt,obfs4
154.35.22.9,29733,GreenBelt,obfs4
154.35.22.9,40782,GreenBelt,obfs4
154.35.22.9,42487,GreenBelt,obfs4
154.35.22.9,48869,GreenBelt,obfs4
154.35.22.9,50819,GreenBelt,obfs4
154.35.22.10,41835,Mosaddegh,obfs4
154.35.22.10,1984,Mosaddegh,obfs4
154.35.22.10,443,Mosaddegh,obfs4
154.35.22.10,80,Mosaddegh,obfs4
154.35.22.10,2934,Mosaddegh,obfs4
154.35.22.10,9332,Mosaddegh,obfs4
154.35.22.10,15937,Mosaddegh,obfs4
154.35.22.10,24338,Mosaddegh,obfs4
154.35.22.10,26336,Mosaddegh,obfs4
154.35.22.10,26703,Mosaddegh,obfs4
154.35.22.10,40348,Mosaddegh,obfs4
154.35.22.10,46345,Mosaddegh,obfs4
154.35.22.10,55622,Mosaddegh,obfs4
154.35.22.10,56472,Mosaddegh,obfs4
154.35.22.10,22,Mosaddegh,ssh
154.35.22.11,49868,MaBishomarim,obfs4
154.35.22.11,1984,MaBishomarim,obfs4
154.35.22.11,443,MaBishomarim,obfs4
154.35.22.11,80,MaBishomarim,obfs4
154.35.22.11,2413,MaBishomarim,obfs4
154.35.22.11,7920,MaBishomarim,obfs4
154.35.22.11,16488,MaBishomarim,obfs4
154.35.22.11,17613,MaBishomarim,obfs4
154.35.22.11,36652,MaBishomarim,obfs4
154.35.22.11,44594,MaBishomarim,obfs4
154.35.22.11,54823,MaBishomarim,obfs4
154.35.22.11,58028,MaBishomarim,obfs4
154.35.22.11,60166,MaBishomarim,obfs4
154.35.22.11,64841,MaBishomarim,obfs4
154.35.22.11,22,MaBishomarim,ssh
154.35.22.12,80,JonbesheSabz,obfs4
154.35.22.12,443,JonbesheSabz,obfs4
154.35.22.12,1984,JonbesheSabz,obfs4
154.35.22.12,1894,JonbesheSabz,obfs4
154.35.22.12,4148,JonbesheSabz,obfs4
154.35.22.12,4304,JonbesheSabz,obfs4
154.35.22.12,13023,JonbesheSabz,obfs4
154.35.22.12,26715,JonbesheSabz,obfs4
154.35.22.12,26919,JonbesheSabz,obfs4
154.35.22.12,34939,JonbesheSabz,obfs4
154.35.22.12,36882,JonbesheSabz,obfs4
154.35.22.12,40033,JonbesheSabz,obfs4
154.35.22.12,44899,JonbesheSabz,obfs4
154.35.22.12,22,JonbesheSabz,ssh
154.35.22.13,80,Azadi,obfs4
154.35.22.13,443,Azadi,obfs4
154.35.22.13,1984,Azadi,obfs4
154.35.22.13,4319,Azadi,obfs4
154.35.22.13,6041,Azadi,obfs4
154.35.22.13,16815,Azadi,obfs4
154.35.22.13,17878,Azadi,obfs4
154.35.22.13,29243,Azadi,obfs4
154.35.22.13,30956,Azadi,obfs4
154.35.22.13,39004,Azadi,obfs4
154.35.22.13,50681,Azadi,obfs4
154.35.22.13,59765,Azadi,obfs4
154.35.22.13,62623,Azadi,obfs4
154.35.22.13,22,Azadi,ssh
192.95.36.142,443,Lisbeth,obfs4
192.95.36.142,2200,Lisbeth,ssh
85.17.30.79,22,NX01,ssh
85.17.30.79,443,NX01,obfs4
38.229.1.77,80,cymrubridge30,obfs4
38.229.1.78,80,cymrubridge31,obfs4
38.229.33.82,80,cymrubridge32,obfs4
38.229.33.83,80,cymrubridge33,obfs4
37.218.240.34,80,frosty,obfs4
37.218.240.34,443,frosty,obfs4
37.218.240.34,40035,frosty,obfs4
37.218.240.37,80,camille,obfs4
37.218.240.37,443,camille,obfs4
37.218.240.37,42779,camille,obfs4
37.218.245.14,80,dragon,obfs4
37.218.245.14,443,dragon,obfs4
37.218.245.14,38224,dragon,obfs4
37.218.245.1,80,dimple,obfs4
37.218.245.1,443,dimple,obfs4
37.218.245.1,44769,dimple,obfs4
85.31.186.98,443,griinchux,obfs4
85.31.186.26,443,zipfelmuetze,obfs4
216.252.162.21,46089,noisebridge01,obfs4
169.229.59.74,31493,Unnamed,obfs3
169.229.59.75,46328,Unnamed,obfs3
109.105.109.163,38980,ndnop0,obfs3
109.105.109.163,47779,ndnop0,obfs3
131.252.210.150,8080,pdxtorbridge01,fte
128.105.214.161,8080,wisctorbridge01,fte
128.105.214.162,8080,wisctorbridge02,fte
128.105.214.163,8080,wisctorbridge03,fte
128.31.0.39,9101,moria1,or_port
128.31.0.39,9131,moria1,dir_port
86.59.21.38,443,tor26,or_port
86.59.21.38,80,tor26,dir_port
194.109.206.212,443,dizum,or_port
194.109.206.212,80,dizum,dir_port
37.218.247.217,443,Bifroest,or_port
37.218.247.217,80,Bifroest,dir_port
131.188.40.189,443,gabelmoo,or_port
131.188.40.189,80,gabelmoo,dir_port
193.23.244.244,443,dannenberg,or_port
193.23.244.244,80,dannenberg,dir_port
171.25.193.9,80,maatuska,or_port
171.25.193.9,443,maatuska,dir_port
154.35.175.225,443,Faravahar,or_port
154.35.175.225,80,Faravahar,dir_port
199.254.238.52,443,longclaw,or_port
199.254.238.52,80,longclaw,dir_port
199.58.81.140,443,longclaw,or_port
199.58.81.140,80,longclaw,dir_port
204.13.164.118,443,bastet,or_port
204.13.164.118,80,bastet,dir_port
176.10.104.240,443,DigiGesTor1e1,or_port
193.171.202.146,9001,ins0,or_port
163.172.149.155,443,niij02,or_port
5.200.21.144,443,libel,or_port
5.196.88.122,9001,ATo,or_port
185.100.86.100,443,saveyourprivacyex1,or_port
37.252.185.182,8080,parasol,or_port
37.120.174.249,443,gGDHjdcC6zAlM8k08lX,or_port
193.11.114.43,9001,mdfnet1,or_port
193.234.15.59,443,bakunin2,or_port
144.76.14.145,143,PedicaboMundi,or_port
185.220.101.9,20009,niftywoodmouse,or_port
54.37.138.138,993,anotherone,or_port
51.15.78.0,9001,rofltor07,or_port
204.11.50.131,9001,BoingBoing,or_port
149.56.141.138,9001,Aerodynamik04,or_port
81.7.14.253,443,Ichotolot60,or_port
163.172.53.84,21,Multivac,or_port
199.184.246.250,443,dao,or_port
212.47.229.2,9001,scaletor,or_port
163.172.176.167,443,niij01,or_port
185.220.101.8,20008,niftymouse,or_port
138.201.250.33,9011,storm,or_port
193.234.15.56,443,jaures,or_port
97.74.237.196,9001,Minotaur,or_port
94.230.208.147,8443,DigiGesTor3e2,or_port
212.83.154.33,8443,bauruine204,or_port
185.100.84.212,443,TeamTardis,or_port
54.37.17.235,9001,Aerodynamik06,or_port
37.157.255.35,9090,cxx4freedom,or_port
37.187.22.87,9001,kimsufi321,or_port
64.79.152.132,443,ebola,or_port
62.210.92.11,9101,redjohn1,or_port
198.50.191.95,443,thomas,or_port
66.111.2.16,9001,NYCBUG1,or_port
185.100.85.101,9001,TorExitRomania,or_port
195.191.81.7,9001,rofltor02,or_port
178.17.170.156,9001,TorExitMoldova2,or_port
81.7.10.251,443,torpidsDEisppro2,or_port
163.172.157.213,443,Cotopaxi,or_port
132.248.241.5,9001,toritounam,or_port
31.31.78.49,443,KrigHaBandolo,or_port
185.220.101.34,20034,niftysugarglider,or_port
193.70.43.76,9001,Aerodynamik03,or_port
51.254.101.242,9001,devsum,or_port
81.7.13.84,443,torpidsDEisppro,or_port
212.51.134.123,9001,Jans,or_port
81.7.16.182,443,torpidsDEisppro3,or_port
85.25.159.65,80,BeastieJoy63,or_port
192.160.102.166,9001,chaucer,or_port
192.160.102.170,9001,ogopogo,or_port
95.130.12.119,443,Nuath,or_port
185.21.100.50,9001,SamAAdams2,or_port
193.234.15.62,443,jaures4,or_port
172.98.193.43,443,Backplane,or_port
185.220.101.28,20028,niftychipmunk,or_port
163.172.139.104,443,Pichincha,or_port
80.127.137.19,443,d6relay,or_port
37.139.8.104,9001,Basil,or_port
188.138.88.42,443,torpidsFRplusserver,or_port
185.220.101.30,20030,niftypedetidae,or_port
85.235.250.88,443,TykRelay01,or_port
81.7.14.31,443,Ichotolot62,or_port
5.196.23.64,9001,Aerodynamik01,or_port
51.254.136.195,443,torproxy02,or_port
185.100.84.82,443,saveyourprivacyexit,or_port
193.11.114.45,9002,mdfnet2,or_port
51.254.96.208,9001,rofltor01,or_port
217.12.199.190,443,torpidsUAitlas,or_port
192.42.116.16,443,hviv104,or_port
192.160.102.164,9001,snowfall,or_port
192.87.28.82,9001,Smeerboel,or_port
62.210.254.132,443,turingmachine,or_port
185.96.88.29,443,TykRelay05,or_port
93.180.156.84,9001,BARACUDA,or_port
51.15.205.214,9001,titania1,or_port
163.172.194.53,9001,GrmmlLitavis,or_port
81.7.11.96,9001,Doedel22,or_port
37.187.20.59,443,torpidsFRovh,or_port
51.255.41.65,9001,PrisnCellRelayFR1,or_port
54.37.73.111,9001,Aerodynamik05,or_port
96.253.78.108,443,NSDFreedom,or_port
193.234.15.57,443,bakunin,or_port
204.8.156.142,443,BostonUCompSci,or_port
37.153.1.10,9001,smallsweatnode,or_port
173.212.254.192,31337,ViDiSrv,or_port
91.229.20.27,9001,gordonkeybag,or_port
66.111.2.20,9001,NYCBUG0,or_port
185.100.86.128,9001,TorExitFinland,or_port
86.105.212.130,443,firstor2,or_port
31.185.104.19,443,Digitalcourage3ip1,or_port
46.28.110.244,443,Nivrim,or_port
46.165.230.5,443,Dhalgren,or_port
171.25.193.77,443,DFRI1,or_port
87.118.122.120,443,otheontelth,or_port
81.7.3.67,443,BeastieJoy62,or_port
171.25.193.78,443,DFRI4,or_port
193.234.15.58,443,jaures2,or_port
128.31.0.13,443,csailmitexit,or_port
94.142.242.84,443,rejozenger,or_port
195.154.164.243,443,torpidsFRonline3,or_port
86.59.119.88,443,ph3x,or_port
185.129.62.62,9001,kramse,or_port
188.40.128.246,9001,sputnik,or_port
31.185.104.20,443,Digitalcourage3ip2,or_port
45.79.108.130,9001,linss,or_port
5.9.147.226,9001,zwiubel,or_port
178.17.174.14,9001,TorExitMoldova,or_port
212.129.62.232,443,wardsback,or_port
136.243.214.137,443,TorKIT,or_port
193.234.15.60,443,jaures3,or_port
93.115.97.242,9001,firstor,or_port
81.2.209.10,80,torzabehlice,or_port
185.220.101.32,20032,niftypika,or_port
193.11.114.46,9003,mdfnet3,or_port
85.248.227.164,9002,tollana,or_port
81.7.11.186,443,BeastieJoy60,or_port
213.141.138.174,9001,Schakalium,or_port
148.251.190.229,9010,quadhead,or_port
104.192.5.248,443,Freeway1a1,or_port
192.160.102.169,9001,manipogo,or_port
185.220.101.6,20006,niftyvolcanorabbit,or_port
31.185.104.21,443,Digitalcourage3ip3,or_port
213.239.217.18,1337,xzdsb,or_port
188.138.112.60,1521,zebra620,or_port
193.234.15.55,443,bakunin4,or_port
85.248.227.163,9001,ori,or_port
192.160.102.165,9001,cowcat,or_port
176.31.103.150,9001,UV74S7mjxRcYVrGsAMw,or_port
85.25.213.211,80,BeastieJoy61,or_port
46.38.237.221,9001,mine,or_port
5.45.111.149,443,gGDHjdcC6zAlM8k08lY,or_port
37.187.115.157,9001,Janky328891,or_port
217.182.51.248,443,Cosworth02,or_port
185.34.33.2,31415,lqdn,or_port
85.10.201.47,9001,sif,or_port
193.35.52.53,9001,Arne,or_port
54.36.237.163,443,GermanCraft2,or_port
